DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M020,P.S. 020 ANNA SILVER,4,2015,Male,45,295,14,31.1,13,28.9,10,22.2,8,17.8,18,40
01M020,P.S. 020 ANNA SILVER,5,2013,Female,33,289,18,54.5,10,30.3,4,12.1,1,3,5,15.2
01M020,P.S. 020 ANNA SILVER,5,2013,Male,44,291,21,47.7,16,36.4,6,13.6,1,2.3,7,15.9
01M020,P.S. 020 ANNA SILVER,5,2014,Female,33,296,17,51.5,7,21.2,6,18.2,3,9.1,9,27.3
01M020,P.S. 020 ANNA SILVER,5,2014,Male,38,300,12,31.6,15,39.5,8,21.1,3,7.9,11,28.9
01M020,P.S. 020 ANNA SILVER,5,2015,Female,24,285,14,58.3,2,8.3,8,33.3,0,0,8,33.3
01M020,P.S. 020 ANNA SILVER,5,2015,Male,35,289,18,51.4,8,22.9,5,14.3,4,11.4,9,25.7
01M020,P.S. 020 ANNA SILVER,All Grades,2013,Female,101,294,38,37.6,36,35.6,19,18.8,8,7.9,27,26.7
01M020,P.S. 020 ANNA SILVER,All Grades,2013,Male,130,297,44,33.8,48,36.9,30,23.1,8,6.2,38,29.2
01M020,P.S. 020 ANNA SILVER,All Grades,2014,Female,114,298,46,40.4,29,25.4,23,20.2,16,14,39,34.2
01M020,P.S. 020 ANNA SILVER,All Grades,2014,Male,119,298,40,33.6,38,31.9,27,22.7,14,11.8,41,34.5
01M020,P.S. 020 ANNA SILVER,All Grades,2015,Female,115,288,54,47,27,23.5,21,18.3,13,11.3,34,29.6
01M020,P.S. 020 ANNA SILVER,All Grades,2015,Male,128,297,46,35.9,31,24.2,29,22.7,22,17.2,51,39.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Female,17,294,6,35.3,6,35.3,5,29.4,0,0,5,29.4
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Male,22,291,8,36.4,7,31.8,4,18.2,3,13.6,7,31.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Female,15,293,5,33.3,7,46.7,2,13.3,1,6.7,3,20
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Male,17,274,10,58.8,5,29.4,2,11.8,0,0,2,11.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,Female,15,288,9,60,2,13.3,3,20,1,6.7,4,26.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,Male,16,294,5,31.3,7,43.8,3,18.8,1,6.3,4,25
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Female,26,295,11,42.3,9,34.6,4,15.4,2,7.7,6,23.1
