DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,EP,51,302,9,17.6,23,45.1,16,31.4,3,5.9,19,37.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,ELL,26,270,18,69.2,8,30.8,0,0,0,0,0,0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,EP,221,296,72,32.6,111,50.2,34,15.4,4,1.8,38,17.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Former ELL,12,313,1,8.3,8,66.7,2,16.7,1,8.3,3,25
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,ELL,17,272,9,52.9,7,41.2,1,5.9,0,0,1,5.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,EP,235,293,84,35.7,102,43.4,37,15.7,12,5.1,49,20.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Former ELL,12,296,4,33.3,6,50,2,16.7,0,0,2,16.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,ELL,15,272,8,53.3,6,40,1,6.7,0,0,1,6.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,EP,222,298,59,26.6,99,44.6,54,24.3,10,4.5,64,28.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,Former ELL,10,291,3,30,4,40,3,30,0,0,3,30
01M063,THE STAR ACADEMY - P.S.63,3,2013,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2013,EP,17,292,6,35.3,8,47.1,3,17.6,0,0,3,17.6
01M063,THE STAR ACADEMY - P.S.63,3,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2014,EP,16,294,6,37.5,5,31.3,5,31.3,0,0,5,31.3
01M063,THE STAR ACADEMY - P.S.63,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2015,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2015,EP,15,298,8,53.3,1,6.7,5,33.3,1,6.7,6,40
01M063,THE STAR ACADEMY - P.S.63,3,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,4,2013,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,4,2013,EP,20,291,7,35,11,55,2,10,0,0,2,10
01M063,THE STAR ACADEMY - P.S.63,4,2014,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,4,2014,EP,16,299,3,18.8,10,62.5,3,18.8,0,0,3,18.8
01M063,THE STAR ACADEMY - P.S.63,4,2015,EP,12,289,5,41.7,4,33.3,3,25,0,0,3,25
01M063,THE STAR ACADEMY - P.S.63,4,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,5,2013,EP,22,288,13,59.1,5,22.7,4,18.2,0,0,4,18.2
01M063,THE STAR ACADEMY - P.S.63,5,2014,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,5,2014,EP,16,283,6,37.5,7,43.8,3,18.8,0,0,3,18.8
01M063,THE STAR ACADEMY - P.S.63,5,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,5,2015,EP,18,297,6,33.3,8,44.4,4,22.2,0,0,4,22.2
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
